driver_id,driver_name,phone_number,email,city,vehicle_type,vehicle_number,driver_rating,total_rides_completed,earnings
1,Stephanie Rice,7282414570,clintoncook@hotmail.com,Mumbai,Auto,TN34 4950,3.63,122,50681.33
2,Kevin Campbell,334-427-7193x28644,harringtonkelly@gonzalez.net,Bangalore,Bike,TN45 2513,4.5,831,75182.62
3,Xavier Cardenas,774-536-4682,henrycraig@williams-robinson.info,Chennai,Auto,TN17 8769,4.32,485,34203.98
4,Marie Warren,982-628-5025x3743,martineznicole@hotmail.com,Chennai,Auto,TN48 3421,4,343,35703.89
5,Erin Reyes,413.849.4636,uparker@gmail.com,Kolkata,Auto,TN94 4398,3.72,499,58844.4
6,Cameron Coleman,001-982-026-6391x648,sanchezsamantha@moody.biz,Kolkata,Auto,TN83 2103,4.88,853,46942.4
7,Damon Lee,153.816.9198,watsonamy@hess.com,Delhi,Auto,TN53 4180,4.36,142,95324.35
8,Dr. Michael Perez,826-270-9877,kelly48@watson-davis.org,Pune,Auto,TN35 3550,4.68,713,97217.45
9,Daniel Johnson,415-444-0298x34306,bullockcraig@gmail.com,Bangalore,Auto,TN10 1788,3.83,604,40561.34
10,Lisa Benitez,+1-237-687-6864,qwagner@hotmail.com,Pune,Bike,TN32 5213,3.82,350,6972.08
11,Susan Williams,+1-760-992-5696,sarcher@yahoo.com,Hyderabad,Bike,TN44 6391,3.85,817,55888.1
12,Hannah Nguyen,+1-893-772-6657x45323,taylorgregory@harrison-torres.info,Delhi,Auto,TN38 5711,3.78,180,31970.53
13,James Buchanan,943-172-7770,dickersonsandra@haynes-bird.com,Chennai,Auto,TN90 4176,3.93,156,66355.68
14,Christina Anderson,(207)715-5492,garrettjohn@gmail.com,Bangalore,Bike,TN73 3203,4.68,763,44494.74
15,Anthony Olson,(688)515-8950x75664,justincannon@yahoo.com,Mumbai,Bike,TN17 3072,4.25,919,25011.21
16,Robert Vang,(776)539-7438,dwatson@yahoo.com,Bangalore,Bike,TN12 5936,4.23,817,11016.96
17,James Costa,102.269.4853x028,pricedavid@gmail.com,Kolkata,Bike,TN56 1803,3.63,994,86773.47
18,Heather Leonard,+1-432-532-4677,karen72@gmail.com,Hyderabad,Auto,TN89 4430,3.8,81,90846.39
19,Michelle Blair,001-417-177-9410x015,jacksonkathryn@gmail.com,Bangalore,Bike,TN50 3369,4.42,905,89215.44
