ride_id,customer_id,driver_id,pickup_location,drop_location,city,ride_date,ride_time,ride_status,payment_status,ride_distance_km,ride_duration_min,ride_fare,payment_method
1,1366,953,57958 Dylan Shores Suite 644,44223 Pamela Burg Apt. 869,Chennai,2025-02-01,13:51:02,Cancelled,Pending,4.75,7,232.46,UPI
2,1188,118,52054 Alexander Estate,15759 Smith Trace Apt. 868,Chennai,2025-01-19,13:26:45,Completed,Paid,7.3,23,447.6,Card
3,558,670,889 Corey Manor Apt. 900,0627 Jennifer Road Apt. 801,Chennai,2025-02-11,10:00:29,Ongoing,Failed,8.01,35,384.26,Cash
4,187,816,24117 Gloria Spur,60481 Jones Mission,Hyderabad,2025-02-11,07:38:55,Completed,Pending,10.13,13,266.54,Cash
5,1912,124,94154 Justin Forge Apt. 938,903 Angela Manor,Hyderabad,2025-01-03,08:44:26,Cancelled,Paid,8.53,9,53.02,Card
6,601,270,05301 Mark Common Apt. 180,9382 Reyes Cliff Suite 530,Hyderabad,2025-01-23,16:43:42,Completed,Pending,1.49,13,169.37,Card
7,1222,437,169 Wolfe Fork Apt. 782,4940 Rosario Burgs,Kolkata,2025-01-02,17:59:16,Cancelled,Paid,13.34,30,370.22,Cash
8,128,409,486 Middleton Valley Apt. 852,584 Nicole Row Apt. 950,Delhi,2025-02-27,23:12:59,Cancelled,Paid,3.54,7,414.04,Cash
9,843,200,296 Velazquez Street,75107 Thomas Unions,Bangalore,2025-01-14,12:00:18,Ongoing,Paid,14.1,12,255.82,Wallet
10,118,945,54174 Anderson Lights Suite 051,8082 Blair Place,Pune,2025-02-06,20:37:09,Ongoing,Failed,5.22,36,55.2,Cash
11,1860,455,889 Sarah Cove Suite 426,596 Brian Common,Chennai,2025-01-14,16:16:16,Completed,Pending,7.15,15,225.06,Card
12,479,506,290 Wright Meadows Suite 181,24135 Bowen Bridge,Hyderabad,2025-02-23,05:11:13,Cancelled,Pending,10.66,25,259.44,UPI
13,1557,908,72254 Caleb Viaduct,923 Reed Square,Kolkata,2025-02-12,00:42:41,Ongoing,Paid,1.63,31,62.7,Cash
14,49,986,46515 Justin Manors Suite 433,56639 Nicole Plains,Hyderabad,2025-01-21,20:32:23,Ongoing,Paid,13.03,39,434,Wallet
15,1599,71,2986 Brown Square,0738 Oscar Gardens Suite 611,Delhi,2025-01-31,12:06:56,Cancelled,Paid,4.24,25,333.6,Card
16,417,385,759 Holmes Junctions,2266 Mayo Motorway Apt. 607,Bangalore,2025-01-30,06:08:00,Completed,Failed,8.76,26,140.67,Card
17,247,257,39972 Seth Summit Apt. 601,28319 Nancy Point,Pune,2025-01-21,00:28:32,Cancelled,Pending,9.81,33,99.33,UPI
18,792,327,58262 Carolyn Fork Suite 166,651 Griffin Estates Suite 770,Mumbai,2025-02-11,11:34:29,Completed,Failed,12.91,44,175.37,Card
19,1041,863,38848 Wendy Prairie,04326 Brandon Garden,Chennai,2025-03-01,09:58:07,Completed,Paid,2.99,24,338.57,Wallet
20,1531,677,9082 Brandon Center,1412 Wesley Islands,Delhi,2025-02-01,02:31:25,Ongoing,Failed,2.06,21,434,Wallet
21,631,704,7319 Nicole Crest Suite 915,9198 Lisa Village Apt. 211,Pune,2025-02-23,08:38:19,Completed,Paid,9.82,34,39.23,Wallet
22,1276,957,951 Christine Greens,656 Carlos Lodge,Bangalore,2025-01-12,00:28:56,Completed,Pending,8.34,42,471.86,Card
23,1720,722,1193 Mccullough Field,7193 Martin Road,Kolkata,2025-02-18,01:19:34,Completed,Failed,11.73,30,84.31,Wallet
24,54,171,990 Nelson Street Suite 302,4005 Mitchell Inlet,Kolkata,2025-02-17,10:47:20,Completed,Paid,12.3,27,64.32,Card
25,305,472,751 Christopher Stravenue Suite 012,780 Thomas Shoals,Mumbai,2025-01-06,04:56:23,Ongoing,Pending,5.03,26,497.59,Cash
26,1124,30,7707 Martinez Locks,72173 Michelle Glen,Mumbai,2025-02-01,04:42:15,Ongoing,Pending,4.62,14,77.8,Cash
27,462,976,00201 Rodriguez Camp Apt. 384,47204 Thomas Fords,Kolkata,2025-01-04,20:18:43,Cancelled,Paid,1.38,16,439.53,Card
28,720,106,8401 Smith Knoll,1859 Deborah Crossing,Kolkata,2025-01-08,00:16:23,Ongoing,Pending,1.22,20,308.12,Cash
29,777,751,18140 Victor Expressway Apt. 222,7655 Thomas Roads Apt. 765,Kolkata,2025-01-11,07:13:51,Cancelled,Pending,13.09,15,241.91,Cash
30,180,136,22230 Caleb Way Apt. 760,42243 Ortiz Squares,Bangalore,2025-02-09,11:31:06,Ongoing,Paid,8.69,17,207.73,UPI
31,1218,467,0803 George Route,8427 Jenna Island Suite 194,Mumbai,2025-02-14,17:43:49,Cancelled,Pending,10.7,10,184.21,Wallet
32,468,992,6818 Bell View Apt. 444,51201 Kayla Cape,Hyderabad,2025-01-25,05:29:42,Ongoing,Pending,6.16,8,138.31,Cash
33,910,32,0544 James Court,538 Tate Keys Suite 447,Pune,2025-01-19,08:17:47,Completed,Pending,2.44,26,338.7,Cash
34,652,357,649 Robert Corner Suite 400,3940 Blackwell Plaza,Mumbai,2025-01-24,11:22:31,Completed,Paid,8.17,17,430.61,Wallet
35,545,562,0112 Sonya Glens,9881 Brewer Way Apt. 419,Bangalore,2025-01-29,05:53:58,Cancelled,Failed,1.12,22,249.24,Wallet
36,776,500,600 Chan Heights Apt. 260,10462 Heather Court Suite 470,Bangalore,2025-02-14,01:05:50,Cancelled,Pending,3.56,35,295.46,Wallet
37,388,258,37657 Lee Square Suite 434,520 Bruce Canyon,Kolkata,2025-03-02,06:13:21,Ongoing,Failed,8.28,45,90.73,Wallet
