customer_id,customer_name,phone_number,email,gender,age,registration_date,total_rides,total_spent
1,Karen Juarez,(900)740-8459x23011,george82@yahoo.com,Male,33,2021-02-07,2,34628.37
2,John Norris,+1-752-537-2833x4294,derekkrueger@hill.com,Other,43,2024-05-10,95,38692.39
3,Kyle Zhang,(299)777-6004x9340,cynthia36@meyer-wheeler.com,Other,51,2022-02-22,38,28808.9
4,Ariana Berry,001-839-240-0711x69529,zmurray@york.org,Other,43,2022-08-10,71,7613.99
5,Paul Smith,602-958-5978,gmoss@gmail.com,Female,54,2020-11-10,36,21526.58
6,Mr. Matthew Patton,+1-337-515-7242x975,robert85@campbell.biz,Female,34,2020-10-31,47,41655.78
7,Gabriel Lee,+1-074-946-7155,evansthomas@gmail.com,Other,46,2023-09-09,76,31221.77
8,Ashley Morrison,001-703-297-1586x591,justin86@gmail.com,Other,40,2024-11-04,82,37617.9
9,Amanda Palmer,+1-741-278-0464x30961,yatesjessica@cooper-alvarez.info,Other,53,2020-12-10,99,37721.94
10,Cassandra Taylor,0130460916,mrollins@hotmail.com,Female,48,2024-08-28,72,36346.16
11,Thomas Montoya,+1-579-857-1900x1641,russellmelody@tate.com,Other,23,2022-08-02,60,6005.09
12,Kathleen Santiago,+1-381-804-2101x90454,saragutierrez@gmail.com,Other,45,2021-07-02,89,17169.27
13,Nicholas Burch,974.585.7881x16975,tmorton@gmail.com,Male,24,2022-07-05,79,29741.38
14,Stephanie Russell,7003371760,robinsonlonnie@gmail.com,Male,18,2023-07-23,92,43058.52
15,Andrea Romero,(831)594-2126,kwalker@gmail.com,Female,57,2023-12-29,42,31355.39
16,Donna Taylor,130.908.9071x043,shunter@hotmail.com,Male,19,2024-04-30,86,44096.83
17,Spencer Burns,315.118.3894,michaelbeth@mitchell-munoz.com,Other,58,2020-08-21,51,6169.69
18,Zachary Flores,(931)913-0320x45361,meyersjean@glass.com,Male,30,2020-09-11,77,10906.61
19,Zachary Green,6305081693,gonzalezdaniel@hotmail.com,Female,23,2022-05-24,22,39682.69
20,Jessica Pratt,+1-887-961-5210x505,gonzaleztammy@thomas.net,Female,56,2024-05-27,91,25507.53
21,Cory Meadows,001-769-369-2802,joseph67@gmail.com,Other,28,2023-11-01,8,14496.04
22,Tracy Peterson,(484)835-0112,phillipsmichelle@glass-evans.org,Female,44,2025-01-10,92,1178.99
23,Ashley Carson,969.058.3601x03582,joseph87@pratt.com,Male,52,2023-08-30,45,41793.62
24,Mark Thompson,+1-767-606-0060,gdavis@gmail.com,Other,47,2020-08-30,89,7026.41
25,Benjamin Hutchinson Jr.,001-943-534-1253x2279,lloydcraig@davis-rivera.org,Male,41,2022-11-15,3,29889.6
26,Haley Stout,+1-632-712-9129x0247,cainpatricia@gmail.com,Female,50,2025-02-04,48,32898.99
27,Mark Willis,+1-056-799-8597x867,hthompson@gmail.com,Male,56,2022-05-06,38,6867.36
28,Robert Wilson,585-793-8454,michaeltrujillo@yahoo.com,Female,40,2022-07-28,74,17984.33
29,David Valencia,319-140-2657x11755,joneskatherine@hotmail.com,Female,35,2023-01-24,76,33875.77
30,Ashley Scott,(606)987-3891x7793,muellerjohn@yahoo.com,Other,51,2021-09-16,78,14327.98
31,Cory King,+1-042-867-2445x888,qmorrison@gmail.com,Female,39,2023-08-09,73,32999.93
32,Lisa Patterson,(927)743-8534,mckenziejacob@houston.com,Female,58,2023-09-11,64,15350.31
33,Colleen Bowen,064-964-9685x481,bvalentine@yahoo.com,Female,19,2022-02-07,87,4392.91
34,Amy Wright,5310113098,nflores@hotmail.com,Other,36,2023-07-29,99,24001.92
35,Samuel Chambers,2401352362,gpotter@christian.com,Female,46,2022-10-15,41,45899.4
36,Jeremy Reed,489-353-0278x1898,martinstephen@gmail.com,Male,20,2022-09-10,52,13615.15
37,Richard Adams,+1-045-987-1343x0123,tfranklin@rhodes-wilson.com,Male,44,2023-10-24,69,2082.72
38,Charles Pena,(611)926-5094x709,lauragriffith@hotmail.com,Other,57,2025-01-30,22,6254.9
39,Joseph Johnson,293.947.0732,lori74@hotmail.com,Female,38,2023-03-15,30,48281.04
40,Melissa Johnson,(434)457-1613,meadowslori@bright.com,Male,47,2020-04-15,43,26147.29
41,Eric Hernandez,6168385419,bergerbarbara@yahoo.com,Male,42,2020-06-16,81,30839.26
42,Matthew Jones,811.085.3309,regina54@yahoo.com,Female,33,2022-12-04,97,24230.46
43,Kirk Evans,331.103.4516x9649,victoria39@yahoo.com,Female,46,2020-06-01,77,28839.6
44,Chad Hawkins,2985329186,michael84@gmail.com,Male,33,2024-12-20,49,38239.88
45,Ronald Kemp,5238685843,jasonwarren@yahoo.com,Male,35,2021-12-13,58,30721.87
46,Drew White,001-395-876-5378x76027,vhoward@yahoo.com,Male,51,2024-01-15,63,3478.21
47,Scott Ryan,821-072-9832,meganpayne@gallagher-miller.info,Other,40,2023-01-05,80,27406.03
48,Cynthia Bradley,7401599421,owalsh@weber.com,Other,29,2022-11-17,74,16599.1
49,Mary Pugh,404-763-6681x129,jphillips@gmail.com,Female,42,2020-03-05,22,1651.3
50,John Wilson,228.537.4915,danielsandrea@williams.com,Male,42,2021-10-21,69,18407.81
51,Sarah Townsend,+1-583-052-7227x28384,adamglass@hall.com,Female,49,2023-04-24,44,26613.11
52,Chelsea Miller,+1-328-652-6565x449,currystacy@smith.biz,Female,46,2022-05-19,50,10304.36
53,Steven Santana,001-174-045-6301x5830,torrescandace@hughes-moore.com,Other,31,2023-02-17,50,10731.22
54,Penny Briggs,611-426-0816x9541,gardnergina@yahoo.com,Other,39,2020-07-24,6,48263.33
55,Tommy Davis,916.526.7339x3304,mmoss@gmail.com,Other,32,2022-08-08,34,21699.14
56,Robert Patrick,109-158-6514,nicholscrystal@gmail.com,Male,53,2020-12-04,31,19330.87
57,Tiffany Williams,098-266-3896,toddwilliams@gmail.com,Other,44,2022-10-27,42,30335.16
58,Michelle Allen,001-454-933-7725x577,mvelez@gmail.com,Other,59,2021-12-25,10,5440.93
59,Jessica Stone,640.671.6713x53105,melaniewright@gmail.com,Female,60,2020-05-04,100,24304.42
60,Jason Strickland,189-221-4388x3746,jgrant@morgan.biz,Female,30,2023-05-27,43,15752.93
61,Edward Ellison,001-430-321-3874x321,michelle24@yahoo.com,Other,49,2022-12-23,12,20281.24
62,Linda Santana,(016)719-0122,cartercarl@gmail.com,Male,34,2024-12-13,89,1280.41
63,Whitney Roman,041.369.9254x506,andrea24@yahoo.com,Other,40,2024-07-16,62,39959.51
64,Crystal Stuart,001-701-630-4919,stephaniemcdonald@mcdonald.biz,Female,24,2023-06-15,99,27418.18
65,Tiffany Clark,(436)963-1497x138,lisawoods@yahoo.com,Female,24,2021-02-02,63,28487.74
66,Heather Peterson,835-047-9480,christopherburgess@beck-rios.org,Other,53,2024-01-29,8,40501.61
67,Donna Evans,026.124.5828x069,evansabigail@gibson.com,Female,47,2023-01-25,23,48590.49
68,Marissa Love,305-730-5480x84434,bernard51@reed.com,Other,30,2023-03-19,37,41326
69,Nancy Obrien,492.272.1529,david40@hotmail.com,Male,31,2023-02-18,27,24011.09
70,Melissa Casey,+1-201-143-0656x44459,tranpatrick@yahoo.com,Female,55,2022-04-14,4,7975.28
71,Justin Gilmore,001-554-447-4219x19637,daniel72@russell.info,Male,56,2021-05-28,97,42015.94
72,Madeline Garcia,+1-149-022-1862,christopher45@pruitt.com,Other,29,2022-05-18,30,10247.46
73,Ashley Shaw,631-288-3925,mccarthykatherine@taylor-freeman.net,Male,42,2023-04-16,99,28229.16
74,Jesus Fuentes,470.478.0524,pmullins@gmail.com,Other,21,2023-01-06,61,48299.13
75,Michael Buckley,001-392-801-1916x700,gatkinson@mcguire.biz,Male,20,2022-01-24,14,40443.52
76,Greg Dorsey,+1-927-630-8695x051,hallvictoria@powell-coleman.biz,Male,38,2022-06-03,95,2922.96
77,Jacob Greene,(682)899-5330x32011,dana59@hotmail.com,Male,29,2021-04-08,91,42763.45
78,Christine Frey,(672)500-3431,williamthornton@may.com,Male,20,2023-02-24,86,30180.34
79,Melissa Coffey,(654)575-7539,crystalpatterson@johnson-stephens.biz,Male,35,2020-06-10,37,31209.69
80,Nancy Stout,922.555.5896x3033,michellehenderson@jones-simon.com,Other,60,2022-05-02,7,48735.78
81,Daniel Ramsey,061.482.1004x2846,sharpnicole@hotmail.com,Male,29,2020-05-06,36,13207.63
82,Jeffrey Miller,755.371.7600x3147,amy47@gmail.com,Other,31,2023-01-24,11,4328.97
83,Cory Adams,938-562-6309,huynhkelly@scott.org,Female,25,2023-08-05,15,21020.24
84,Marilyn Benson,+1-873-018-4117x73912,brandi55@yahoo.com,Female,38,2022-02-18,82,48451.82
85,James Curry,(790)343-3981,christina54@yahoo.com,Female,35,2022-02-27,66,40556.75
86,Nicole Howard,791.427.8072x193,vstevens@fitzgerald.com,Male,26,2021-05-15,65,13629.1
87,Wendy Myers,(572)482-3163,baxterdean@hotmail.com,Male,52,2023-09-30,82,23349.65
88,Corey Boyer,001-197-776-4855,powellerin@holmes.com,Male,54,2024-12-05,31,30667.45
89,Cheyenne Gibson,001-370-388-4255x418,priscillalawson@wright.com,Male,24,2020-04-10,48,16992.67
90,Johnny Wilson,669.784.9286x49695,meyersrachel@gmail.com,Male,22,2021-03-02,42,36844.99
91,Stephen Jones,(135)225-3240,skinnerthomas@gmail.com,Female,49,2023-03-20,68,31465.54
92,Sherri Ibarra,(694)568-1479,david93@king.com,Male,50,2023-03-14,45,41964.26
93,Stephanie Underwood DDS,+1-733-299-3818x21197,leahfoster@fisher.org,Other,55,2025-01-20,60,43751.25
94,Michael Mcdaniel,104-741-6350x7445,shelia95@lambert-wilson.com,Female,36,2021-05-14,51,27991.05
95,Elizabeth Price,001-677-186-5669x861,staceymendez@yahoo.com,Male,53,2024-02-21,66,44525.97
96,Ashley Barnes,9340143081,ginasmith@obrien.com,Other,18,2021-06-30,46,36021.19
97,Aaron Banks,(144)520-1810,kimcasey@hotmail.com,Other,38,2024-05-03,26,24265.41
98,Jorge Gonzalez,(505)504-8742x27064,susan52@yahoo.com,Male,39,2023-07-15,93,15294.02
99,Elizabeth Serrano,+1-693-587-1202x546,nicholas20@campbell.com,Other,29,2023-04-03,48,11603.61
100,Jorge Gutierrez,+1-227-990-5827x4493,qwerner@thompson.info,Male,50,2022-05-15,4,39696.91
101,Francisco Werner,071.667.8994x2458,whunter@gmail.com,Other,45,2021-09-13,46,13165.83
102,Kenneth Perez,547-733-1811x842,elizabeth18@yahoo.com,Female,45,2023-07-15,67,38782.91
103,Craig Clark,+1-220-855-2677x39707,burkejill@hotmail.com,Male,46,2021-11-12,68,38344.32
104,Theodore Nguyen,455-253-4991,michael59@yahoo.com,Other,25,2024-06-25,28,38925.46
105,Jessica Reynolds,043.401.9459x17702,christine54@hotmail.com,Male,29,2023-03-26,80,11465.59
106,Thomas Sullivan,+1-533-148-4377x940,victoria87@george.biz,Male,46,2020-10-29,54,16507.65
107,Benjamin Green,736-110-0526x523,deannalin@gmail.com,Male,26,2024-10-21,2,9677.88
108,Jacob Reyes,(923)409-5964x4871,davidanderson@yahoo.com,Male,30,2022-04-26,1,31926.87
109,David Jacobson,680.425.9241x01829,stephanieharrison@carter.com,Male,50,2023-06-22,84,43651.21
110,Jake Arroyo,209.003.6278x21136,rodneyfry@yahoo.com,Other,29,2020-12-29,18,49471.07
111,Thomas Kent,+1-833-353-9783x8385,nwilliams@gmail.com,Male,38,2022-07-08,59,40687.26
112,Tracy Mills,(249)699-6258x1437,agill@hotmail.com,Male,28,2024-07-25,69,47121.88
113,James Martin,+1-062-564-7632x2471,cordovalori@luna.org,Other,54,2021-08-28,78,11294.6
114,Melanie Simpson,996.349.5246,guerrakatherine@nichols-washington.com,Female,31,2020-03-28,51,44138.17
115,Yvonne Castillo,858-869-2090,taylorwilliam@gmail.com,Other,23,2020-10-30,74,35209.75
116,Holly Hines,001-134-861-7238x37558,aaron68@curry.com,Female,58,2023-04-05,14,5164.85
117,Molly Peterson,(476)053-9331,ialexander@gmail.com,Other,55,2020-04-08,36,2755.81
118,Sean Green,(223)185-3468x21230,cassandra28@yahoo.com,Female,28,2020-06-27,28,22966.27
119,Matthew Jones,(365)551-8533,michael30@brown-peterson.biz,Other,18,2022-06-11,43,27243
120,Andre Munoz Jr.,+1-426-033-3191x13946,andrewskrista@yahoo.com,Other,53,2025-02-23,38,36133.81
121,Amanda Bass MD,878-250-9509x399,stephaniescott@gmail.com,Male,44,2023-08-13,60,34543.29
122,Regina Jones,001-139-471-3165x92982,makayla78@gmail.com,Other,50,2022-07-13,56,14462.23
123,Elizabeth Hale,868.672.7906x1952,romerodaniel@cook-knight.biz,Other,34,2023-03-30,51,17632.57
124,Emily Hamilton,001-592-012-0941,clarkekathleen@carter-whitney.com,Other,30,2021-07-01,12,21212.02
125,Joseph Lee,(342)019-5718x01659,caitlinvazquez@hotmail.com,Other,44,2022-10-03,7,40238.03
126,Kimberly Bowman,193.796.2416x4266,yvettewatson@howe-lambert.org,Female,24,2024-05-01,49,14483.89
127,Susan Hill,875.257.8467x52774,samueltaylor@hotmail.com,Other,59,2024-10-03,7,13550.2
128,Katherine Henderson,046.494.0295x52681,nfrazier@sherman-shaw.net,Male,49,2020-08-28,35,37711.31
129,Virginia Floyd,386.870.4186,hannahfarmer@hotmail.com,Female,47,2021-07-14,56,40262.43
130,Anna Greer,001-024-644-6918x304,johnsoneric@yahoo.com,Male,36,2022-01-14,79,41499.02
131,Katelyn Wood,001-651-975-9617x31247,powelljamie@gmail.com,Female,43,2020-12-27,3,1816.72
132,Kaylee Manning,+1-434-010-9954x92031,stephentaylor@lawson.info,Other,23,2021-03-16,59,33397.55
133,Alan Young,784-655-9222,nbridges@mitchell.com,Other,31,2021-09-29,53,41109.91
134,Shawn Best,072.922.6287x93593,collierkaren@torres.com,Male,44,2024-06-12,33,18071.18
135,Kelly Walker,152-310-3815,deniseacosta@rogers.biz,Male,33,2025-01-15,10,44519.38
136,Trevor Lindsey,(468)797-7066x7161,brian51@johnson.biz,Male,31,2024-02-17,63,1000.07
137,Sara Marks,324.562.3919,laurenfloyd@gentry.com,Female,39,2022-06-17,18,42202.93
138,James Swanson,(077)944-0642x5464,zthomas@hotmail.com,Male,19,2025-02-14,90,21951.59
139,Laura Davis,841.938.2899x21108,kmurray@stephens.net,Female,25,2021-12-07,93,42554.85
140,George Wright,516.952.5638x6645,stevenmarshall@hotmail.com,Other,42,2023-08-29,33,39633.59
141,Amanda Palmer,8384081541,hughespatrick@yahoo.com,Other,46,2024-12-19,81,48718.71
142,Drew Garcia,(982)988-3774,turnervanessa@ponce-morales.com,Male,32,2020-05-29,3,13747.01
143,David Stein,(550)045-8565x1309,victoria65@hubbard.com,Other,33,2022-05-05,88,12026.85
144,Taylor Arnold,(391)119-5917x8753,sbrown@hamilton.net,Male,18,2021-04-05,31,49607.7
145,Patty Best,(582)072-5510x50483,kayla11@tran-rogers.org,Female,46,2022-11-15,97,21244.41
146,Howard Gibbs,276.496.5256x4811,wilsonsamantha@miller.com,Male,31,2024-05-20,28,14930.23
147,Jose Wright,938-904-2514x9854,george93@hotmail.com,Female,39,2022-02-14,54,12931.9
148,Joseph Hamilton,(314)477-2570x98256,aliciaeaton@martinez.com,Other,57,2023-04-29,38,16732.63
149,Kristin Young,320-956-9932,jenniferparker@phillips.biz,Other,44,2020-01-17,88,32533.15
150,Gerald Sutton,+1-546-774-4963x099,martinamanda@hotmail.com,Other,43,2022-04-02,57,11117.54
151,Susan Lee,001-817-724-5489,dwilson@levy-vega.com,Male,21,2024-11-13,95,2459.14
152,Dana Pacheco,937.130.9729,amanda35@yahoo.com,Female,26,2020-11-10,89,32352.09
153,Dr. Michael Bishop Jr.,(872)779-7068,stephanie52@gmail.com,Male,50,2020-03-12,24,37742.91
154,Zoe Johnston MD,+1-251-428-0550x98284,rachel85@yahoo.com,Female,18,2023-01-28,40,35487.07
155,Mrs. Catherine Williams MD,001-714-460-6947x841,ryansmith@green.com,Female,32,2021-10-06,1,12095.05
156,Matthew Patrick,(951)009-8267,paul57@gmail.com,Male,19,2022-11-24,73,11290.82
157,David Anderson,(177)759-0750,kimberlyhawkins@gmail.com,Other,28,2022-01-21,29,34429.22
158,Douglas Lin,672-417-7946,mary03@jenkins-gibson.biz,Other,29,2022-07-03,47,36612.05
159,Barbara Adams,389.321.8734x413,browncourtney@fleming.org,Other,46,2023-05-26,10,4559.46
160,Samantha Pierce,822-088-5737x338,ublackburn@hotmail.com,Male,23,2023-04-02,64,42688.66
161,Julia Evans,+1-102-480-0316x32197,emily33@gmail.com,Other,36,2023-05-29,23,22540.47
162,Diana Hall,001-592-721-3791x6167,xanderson@lewis-leach.com,Female,30,2022-11-09,95,14951.14
163,Leonard Shaffer DVM,(528)675-4527x79446,codyadams@hotmail.com,Male,39,2020-08-02,80,5604.2
164,Ronald Newton,(699)748-7126x090,jimmy47@hotmail.com,Female,46,2020-10-30,10,37673.23
165,Mrs. Krystal Matthews,341.569.5537x5415,cherylromero@case.org,Other,23,2024-03-26,96,25872.33
166,Brandi Lambert,995.183.8695x187,chelsea62@gmail.com,Other,31,2021-04-27,26,42459.48
167,Joanna Wilson,702-331-7137,groberts@gmail.com,Female,53,2023-07-27,41,40863.79
168,Kelly Jones,001-371-853-3632,whitakergary@moody-martinez.biz,Male,41,2022-09-04,82,38579.1
169,Carol Porter,+1-932-078-8110x093,elizabethcarter@garrett.net,Male,56,2021-08-06,81,39556.59
170,Daniel Hernandez,975-779-6643x1825,williamspaul@gmail.com,Male,24,2024-01-19,70,36468.49
171,Mariah Smith,001-222-012-6489x7170,jaclynchoi@ingram.com,Female,60,2023-02-19,73,29558.32
172,Jennifer Johnson,147-927-0496x667,fwang@gmail.com,Other,20,2020-09-26,97,31220.24
173,Emily Miller,(180)006-0770,chavezgreg@nash.biz,Male,30,2020-03-09,24,46641.66
174,Emily Yates,(501)209-7845x1139,haneysteven@hunter.com,Female,54,2024-07-26,32,35617.82
175,Robert Nguyen,+1-243-186-1522x990,amy40@yahoo.com,Male,37,2021-04-12,80,6108.04
176,Laura Campbell,(185)349-9420x0695,cookmargaret@ortega.com,Female,46,2023-09-12,41,37787.49
177,Anthony Robinson,(956)396-7758x645,rmurphy@evans.com,Other,40,2020-06-29,26,38881.9
178,Sarah Stone,114.388.1992x7375,qbutler@hotmail.com,Other,44,2022-05-28,87,16439.04
179,Jennifer Scott,193.481.1801x161,melissarobinson@yahoo.com,Male,35,2021-02-04,49,26923.77
180,Taylor Davis DDS,(256)866-7843,yfitzgerald@yahoo.com,Male,36,2023-07-31,61,18405
181,Connor Stephens,001-918-477-2604x904,patrick93@hotmail.com,Female,23,2024-04-21,57,24519.65
182,Joseph Huynh,(788)587-9211,zmartinez@yahoo.com,Male,41,2022-11-28,53,11208.87
183,Patrick Moore,001-633-764-3994,reynoldslauren@williams-lee.info,Male,56,2021-03-09,99,39770.89
184,David Jones,(061)739-2294,marynovak@carroll-watkins.biz,Female,18,2023-07-01,57,31898.1
185,Laura Fuller,4836044005,uwolfe@sanders.com,Female,47,2023-06-18,18,40570.37
186,Jessica Harrington,016-365-0749x410,gmatthews@duarte-jenkins.info,Other,19,2023-11-16,48,39725.69
187,Tiffany Romero,799.187.4931x7832,melissaramirez@yahoo.com,Male,27,2020-05-02,14,32722.41
188,Dr. Jennifer Phelps,+1-034-604-9939,mcclainjames@johnson-reese.org,Male,48,2020-11-05,61,19357.04
189,Steven Mendoza,(284)902-6886,xrodriguez@hotmail.com,Other,19,2022-06-20,5,27846.27
190,Erin Nash,001-026-003-5121x92257,kimberlyjohnson@hotmail.com,Female,33,2023-10-23,33,22211.59
191,Dalton Hartman,(749)238-9626,joseph70@hotmail.com,Other,59,2020-10-09,36,33586.92
192,Bernard Diaz,001-942-598-9875x0725,rachel22@montes.info,Male,47,2022-05-10,7,24799.61
193,Roy Powell,(669)675-0267x5914,ganderson@miller.com,Female,37,2023-03-31,86,15495.27
194,Latoya Valdez,+1-601-068-0972x905,scottbarbara@huang.net,Other,49,2025-01-05,81,26227.22
195,Ryan Henson,(734)301-4699x6399,sandymccullough@jones.com,Female,24,2023-05-21,57,24353.45
196,Diana Hutchinson,(017)629-5853,johncarr@hotmail.com,Male,47,2021-04-15,41,45819.31
197,Courtney West,052.228.7871,howelltimothy@wolfe.com,Female,44,2020-02-10,66,7980.86
198,Thomas Miller,(417)607-5977x7861,yrojas@yahoo.com,Other,47,2022-03-10,46,39500.05
199,Shawn Hicks,001-219-755-9275x6255,mariawatkins@yahoo.com,Other,23,2021-01-11,67,43767.86
200,Teresa Davis,(356)199-8554x11272,derek37@wood.info,Female,58,2023-08-10,19,11588.87
201,Dennis Nelson,546.909.5534x913,jeremy76@murphy-peters.com,Other,45,2020-12-16,28,28701.86
202,Megan Wang,122.560.8491x122,brownkatie@hotmail.com,Female,42,2023-01-08,8,18516.92
203,Emily Dean,5377313060,ypayne@yahoo.com,Female,44,2020-07-15,81,37190.57
204,Carrie Werner,6486553750,mendozakristine@rodriguez-humphrey.net,Male,30,2021-12-29,18,29349.89
205,Candace Watkins,346.999.9493,jameskennedy@gmail.com,Female,26,2020-02-02,65,21474.47
206,Gabriella Murray,119.403.0280,jenkinsroger@jordan-walker.org,Female,41,2020-03-05,52,18156.95
207,Jonathan Hernandez,+1-879-934-8897,thomas20@bell-reyes.com,Female,20,2025-02-13,28,47255.65
208,Mrs. Kerry Anderson MD,001-810-476-8685x2624,cindyhuff@morrow.org,Male,56,2024-11-16,89,23433.02
209,Ralph Barry,(165)290-4364x0431,eric54@hotmail.com,Female,41,2023-07-31,95,40731.12
210,Amy Mann,(756)409-9876x537,jennifer89@higgins.biz,Female,23,2021-08-23,62,22321.4
211,Michael Brown,745.076.1702x215,jameswilliams@nguyen.com,Other,52,2024-03-21,89,14280.52
212,Gilbert Cooper,001-363-679-8219x306,carrolljohn@pham.com,Male,30,2023-01-19,59,14303.82
213,Shawn Schneider,(349)564-0854,carmensosa@gmail.com,Male,46,2021-11-22,2,43280.32
214,Jamie Gonzalez,+1-890-563-0393x89972,nancygutierrez@collins.com,Other,23,2022-12-10,36,47225.06
215,Kathleen Davis,+1-317-310-1626x8615,heatherlamb@yahoo.com,Other,58,2020-10-24,57,47534.27
216,Justin Glenn,001-759-549-2874,cody50@perkins.com,Male,31,2020-02-12,45,45165.33
